Scientific_Name,ID,Code,CA_ID,CodeNum,Generic,Subsp,Western,California,Gymno,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source,Flame_duration,Flame_duration.Source,Flame_ht,Flame_ht.Source,Pct_consumed,Pct_consumed.Source,Smolder_duration,Smolder_duration.Source
Carya_alba,103,Car_Alb,NA,409,0,0.0,0,0,0,1,1.0921999999999998,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,11.55,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_aquatica,104,Car_Aqu,NA,401,0,0.0,0,0,0,1,1.1176,FVS FFE,38.0,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.666667,TRY,NA,NA,2270.0,TRY,NA,NA,0.63,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_cordiformis,106,Car_Cor,NA,402,0,0.0,0,0,0,1,0.9397999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,9.0,TRY,9.0,TRY,NA,NA,NA,NA,28.727273,TRY,200.0,TRY,3e3,TRY,31.959908,TRY,0.67,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_glabra,107,Car_Gla,NA,403,0,0.0,0,0,0,1,0.9397999999999999,FVS FFE,41.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,22300.33333,TRY,33.1,TRY,270.0,TRY,NA,NA,16.033333,TRY,NA,NA,NA,NA,30.4857143,TRY,17.888889,TRY,300.0,TRY,2470.0,TRY,15.277278,TRY,0.76,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_illinoensis,108,Car_Ill,NA,404,0,0.0,0,0,0,1,0.9143999999999999,FVS FFE,37.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.272727,TRY,300.0,TRY,3700.0,TRY,NA,NA,0.69,TRY,2.5,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_laciniosa,109,Car_Lac,NA,405,0,0.0,0,0,0,1,1.0921999999999998,FVS FFE,38.7,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0,TRY,NA,NA,15500.0,TRY,NA,NA,0.62,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_myristiciformis,243,Car_Myr,NA,406,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_ovata,110,Car_Ova,NA,407,0,0.0,0,0,0,1,1.016,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,25.2,TRY,NA,NA,5.6,TRY,19.8,TRY,NA,NA,NA,NA,NA,NA,30.933333,TRY,300.0,TRY,4540.0,TRY,11.2,TRY,0.73,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_pallida,244,Car_Pal,NA,410,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_spp.,111,Car_Spp,NA,400,1,NA,NA,NA,0,1,1.0837334179999998,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_texana,112,Car_Tex,NA,408,0,0.0,0,0,0,1,1.016,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya_tomentosa,113,Car_Tom,NA,NA,0,0.0,0,0,0,1,1.0921999999999998,FVS FFE,39.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,42800.94595,TRY,NA,NA,295.57143,TRY,NA,NA,14.966667,TRY,19.8,TRY,NA,NA,29.5714286,TRY,13.308333,TRY,500.0,TRY,7780.0,TRY,15.779846,TRY,0.73,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castanea_dentata,114,Cas_Den,NA,421,0,0.0,0,0,0,1,NA,NA,28.7,FVS FFE,2.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,18.466667,TRY,NA,NA,NA,NA,8.0,TRY,24.0,TRY,NA,NA,3460.0,TRY,17.2,TRY,0.5,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castanea_mollissima,246,Cas_Mol,NA,424,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castanea_pumila,247,Cas_Pum,NA,422,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castanea_spp.,248,Cas_Spp,NA,420,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarina_lepidophloia,245,Cas_Lep,NA,857,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catalpa_bignonioides,249,Cat_Big,NA,451,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catalpa_speciosa,250,Cat_Spe,NA,452,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catalpa_spp.,115,Cat_Spp,NA,450,1,NA,NA,NA,0,1,0.9397999999999999,FVS FFE,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celtis_laevigata,116,Cel_Lae,NA,461,0,0.0,1,1,0,1,0.9143999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,1175.0625,TRY,NA,NA,60.42222,TRY,NA,NA,NA,NA,NA,NA,NA,NA,2.7452381,TRY,9.55814,TRY,150.0,TRY,208.0,TRY,19.030058,TRY,0.47,TRY,1.0,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celtis_occidentalis,117,Cel_Occ,NA,462,0,0.0,1,0,0,1,0.9143999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,20.9,TRY,NA,NA,NA,NA,25.0,TRY,15.352941,TRY,NA,NA,6.0,TRY,24.166667,TRY,175.0,TRY,106.0,TRY,18.708228,TRY,0.49,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celtis_spp.,118,Cel_Spp,NA,460,1,NA,NA,NA,0,1,0.9143999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercis_canadensis,120,Cer_Can,NA,471,0,0.0,0,0,0,1,0.889,FVS FFE,35.55,FVS FFE,3.0,FVS FFE,1.0,FVS FFE,6169.79011,TRY,NA,NA,84.92206,TRY,NA,NA,19.115789,TRY,NA,NA,0.1958,TRY,8.2684386,TRY,5.226316,TRY,NA,NA,NA,NA,24.313383,TRY,0.65,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocarpus_betuloides,119,Cer_Bet,NA,NA,0,0.0,1,1,0,1,1.1176,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,16.2,TRY,14.727273,TRY,NA,NA,NA,NA,3.75,TRY,NA,NA,NA,NA,NA,NA,0.8,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocarpus_ledifolius,121,Cer_Led,NA,NA,0,0.0,1,1,0,1,1.1176,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,TRY,5.95,TRY,1350.0,TRY,NA,NA,NA,NA,NA,NA,0.6,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecyparis_lawsonia,12,Cha_Law,10,41,0,0.0,1,1,1,1,2.0574,FVS FFE,24.3,FVS FFE,2.0,FVS FFE,4.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0,TRY,NA,NA,2.0,TRY,NA,NA,NA,NA,NA,NA,1,FEIS,3,FEIS,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecyparis_nootkatensis,13,Cha_Noo,NA,42,0,0.0,1,0,1,1,0.5588,FVS FFE,26.2,FVS FFE,2.0,FVS FFE,5.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4375,TRY,2560.0,TRY,2.59,TRY,NA,NA,0.46,TRY,1.16666667,TRY,1,FEIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecyparis_thoides,14,Cha_Tho,NA,NA,0,0.0,0,0,1,1,0.635,FVS FFE,19.3,FVS FFE,2.0,FVS FFE,3.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FEIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecyparis_thyoides,251,Cha_Thy,NA,43,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysolepis_chrysophylla,122,Chr_Chr,NA,NA,0,0.0,1,1,0,1,1.1429999999999998,FVS FFE,36.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamomum_camphora,252,Cin_Cam,NA,858,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus_spp.,253,Cit_Spp,NA,860,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cladrastis_kentukea,254,Cla_Ken,NA,481,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condalia_hookeri,256,Con_Hoo,NA,867,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conocarpus_erectus,255,Con_Ere,NA,987,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus_florida,123,Cor_Flo,NA,491,0,0.0,0,0,0,1,1.0413999999999999,FVS FFE,33.67143,FVS FFE,3.571429,FVS FFE,1.0,FVS FFE,4160.18078,TRY,35.7,TRY,91.55921,TRY,5.6,TRY,14.055062,TRY,10.045635,TRY,0.1507292,TRY,5.2969586,TRY,6.622727,TRY,125.0,TRY,101.0,TRY,24.802422,TRY,0.8,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus_nuttallii,124,Cor_Nut,NA,NA,0,0.0,1,1,0,1,1.5748,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,TRY,14.5,TRY,NA,NA,NA,NA,35.06,TRY,0.58,TRY,0.61,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotinus_obovatus,257,Cot_Obo,NA,996,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus_crus-galli,258,Cra_Cru,NA,501,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus_mollis,259,Cra_Mol,NA,502,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus_spp.,125,Cra_Spp,NA,500,1,NA,NA,NA,0,1,0.9652,FVS FFE,30.875,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros_spp.,260,Dio_Spp,NA,520,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros_texana,261,Dio_Tex,NA,522,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros_virginiana,262,Dio_Vir,NA,521,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia_anacua,263,Ehr_Ana,NA,523,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeagnus_angustifolia,264,Ela_Ang,NA,997,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_grandis,265,Euc_Gra,NA,513,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_spp.,266,Euc_Spp,NA,510,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_rhombea,267,Eug_Rho,NA,873,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fagus_grandifolia,126,Fag_Gra,NA,531,0,0.0,0,0,0,1,0.635,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,3907.16667,TRY,26.9,TRY,97.35433,TRY,NA,NA,16.068333,TRY,15.443548,TRY,0.146,TRY,5.3199375,TRY,30.352941,TRY,333.33333,TRY,285.0,TRY,25.67433,TRY,0.67,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus_aurea,268,Fic_Aur,NA,876,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_americana,127,Fra_Ame,NA,541,0,0.0,0,0,0,1,1.0668,FVS FFE,34.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,29544.27778,TRY,23.5,TRY,224.16667,TRY,5.7,TRY,18.492222,TRY,NA,NA,NA,NA,23.0833333,TRY,10.669388,TRY,NA,NA,45.0,TRY,19.694216,TRY,0.64,TRY,0.9,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_caroliniana,269,Fra_Car,NA,548,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_latifolia,128,Fra_Lat,NA,542,0,0.0,1,1,0,1,1.0668,FVS FFE,31.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0,TRY,250.0,TRY,38.1,TRY,NA,NA,0.58,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_nigra,129,Fra_Nig,NA,543,0,0.0,0,0,0,1,0.889,FVS FFE,28.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.583333,TRY,284.5,TRY,58.5,TRY,25.55719,TRY,0.53,TRY,0.45,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_pennsylvanica,130,Fra_Pen,NA,544,0,0.0,1,0,0,1,0.9905999999999999,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0,TRY,NA,NA,35.7,TRY,22.7,TRY,0.61975,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_profunda,131,Fra_Pro,NA,545,0,0.0,0,0,0,1,0.9397999999999999,FVS FFE,31.5,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,TRY,NA,NA,142.0,TRY,NA,NA,0.55,TRY,0.41666667,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_quadrangulata,132,Fra_Qua,NA,546,0,0.0,0,0,0,1,0.7619999999999999,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,33.36667,TRY,7.253623,TRY,NA,NA,NA,NA,18.35,TRY,NA,NA,NA,NA,NA,NA,0.6,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_spp.,133,Fra_Spp,NA,540,1,NA,NA,NA,0,1,1.0668,FVS FFE,33.1,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus_texensis,270,Fra_Tex,NA,549,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginkgo_biloba,271,Gin_Bil,NA,561,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleditsia_aquatica,272,Gle_Aqu,NA,551,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleditsia_spp.,273,Gle_Spp,NA,550,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
